,tweet_vader_score,tweet_neg_score,tweet_pos_score,tweet_neu_score,tweet_source,tweet_text,tweet_date
60,0.0,0.0,0.0,1.0,CBS News,Rep. Duncan Hunter and his wife indicted https://t.co/p5DszHv2ic https://t.co/76MhZOBFqa,Wed Aug 22 00:39:46 +0000 2018
61,0.0,0.0,0.0,1.0,CBS News,Michael Cohen says he paid off women at Trump's direction to influence election https://t.co/sQYELkzvTb https://t.co/YyH7g1HadP,Wed Aug 22 00:19:51 +0000 2018
62,0.0,0.0,0.0,1.0,CBS News,“It should have never happened…the immigration laws are such a disgrace”: President Trump appears to refer to Iowa… https://t.co/ckXgh5zD6a,Tue Aug 21 23:59:14 +0000 2018
63,0.9186,0.0,0.433,0.567,CBS News,"“You are proud of our history. And unlike the NFL, you always honor and cherish our great American flag,” President… https://t.co/TXLRYlbmUc",Tue Aug 21 23:26:22 +0000 2018
64,0.4404,0.0,0.139,0.861,CBS News,"HAPPENING NOW: President Trump speaks to supporters at West Virginia rally, just hours after key associates Paul Ma… https://t.co/BUdogu4Gw3",Tue Aug 21 23:21:27 +0000 2018
65,-0.2732,0.11,0.0,0.89,CBS News,"Tom Hanks is among more than 1,000 people who sent birthday postcards to a 12-year-old girl battling leukemia… https://t.co/ei6hoLeMh1",Tue Aug 21 23:09:57 +0000 2018
66,-0.872,0.344,0.0,0.656,CBS News,"Officials say murdered Iowa college student Mollie Tibbetts was allegedly killed by a 24-year-old man, who is an il… https://t.co/TvYpNu5z36",Tue Aug 21 23:06:24 +0000 2018
67,-0.7845,0.257,0.0,0.743,CBS News,"RT @CBSEveningNews: Chris Watts, whose pregnant wife and two young daughters were found dead in a shallow grave and oil tanks, has confesse…",Tue Aug 21 23:01:30 +0000 2018
68,0.5789,0.0,0.253,0.747,CBS News,"""Legally the Manafort convictions don't jeopardize the President, but they do fortify the special counsel..."":… https://t.co/ptvJrWElHV",Tue Aug 21 22:52:33 +0000 2018
69,-0.7351,0.267,0.0,0.733,CBS News,"HER TOO? Asia Argento denies allegations that she sexually assaulted a teen boy, says accuser tried extorting her a… https://t.co/TsDaKHxh6V",Tue Aug 21 22:50:01 +0000 2018
70,-0.743,0.27,0.0,0.73,CBS News,"RT @CBSEveningNews: Pres. Trump’s former personal attorney Michael Cohen pleaded guilty to eight felony counts on Tuesday, including campai…",Tue Aug 21 22:46:46 +0000 2018
71,-0.296,0.199,0.11,0.691,CBS News,"Paul Manafort was found guilty of 8 of 18 charges today, marking the first conviction for Special Counsel Robert Mu… https://t.co/XucyOMnstf",Tue Aug 21 22:46:22 +0000 2018
72,-0.4215,0.128,0.0,0.872,CBS News,LIVE UPDATES: President Trump is set to speak in West Virginia after Michael Cohen's guilty plea and Paul Manafort'… https://t.co/YFIU4A2mRn,Tue Aug 21 22:30:01 +0000 2018
73,-0.2263,0.106,0.0,0.894,CBS News,"A class-action lawsuit against the marketing company Herbalife could involve more than 100,000 plaintiffs and up to… https://t.co/yYT6ALzAmm",Tue Aug 21 22:09:36 +0000 2018
74,0.0,0.0,0.0,1.0,CBS News,Wyoming and Alaska have tight primary contests tonight. Here's what you need to know: https://t.co/byUn3JKF2z https://t.co/hFhiSi45CO,Tue Aug 21 21:50:45 +0000 2018
75,-0.5256,0.152,0.0,0.848,CBS News,"WATCH: President Trump, arriving in West Virginia, says he feels ""very badly"" for Paul Manafort after he was found… https://t.co/zN2shgIYev",Tue Aug 21 21:43:35 +0000 2018
76,-0.7269,0.289,0.0,0.711,CBS News,MOLLIE TIBBETTS CASE: A 24-year-old man has been charged for allegedly murdering the Iowa college student. Official… https://t.co/lf0NNSUfgf,Tue Aug 21 21:41:01 +0000 2018
